"Step","wild-sweep-1 - task_score","wild-sweep-1 - task_score__MIN","wild-sweep-1 - task_score__MAX"
"2","0.29792961187146183","0.29792961187146183","0.29792961187146183"
"5","0.17829942512561753","0.17829942512561753","0.17829942512561753"
"8","0.2554211103609629","0.2554211103609629","0.2554211103609629"
"11","0.2309415949763061","0.2309415949763061","0.2309415949763061"
"14","0.2468081495754696","0.2468081495754696","0.2468081495754696"
"17","0.29965384035178233","0.29965384035178233","0.29965384035178233"
"20","0.3623775572328657","0.3623775572328657","0.3623775572328657"
"23","0.3312094627288426","0.3312094627288426","0.3312094627288426"
"26","0.30507238257071234","0.30507238257071234","0.30507238257071234"
"29","0.36152271057835106","0.36152271057835106","0.36152271057835106"
"32","0.21970964953023883","0.21970964953023883","0.21970964953023883"
"35","0.21372331467703617","0.21372331467703617","0.21372331467703617"
"38","0.5183974578582232","0.5183974578582232","0.5183974578582232"
"41","0.7121979132934252","0.7121979132934252","0.7121979132934252"
"44","0.058333341868085156","0.058333341868085156","0.058333341868085156"
"47","0.713001333705686","0.713001333705686","0.713001333705686"
"50","0.35056901960167086","0.35056901960167086","0.35056901960167086"
"53","0.22904972316448297","0.22904972316448297","0.22904972316448297"
"56","0.6558024267506128","0.6558024267506128","0.6558024267506128"
"59","0.45658644013258665","0.45658644013258665","0.45658644013258665"
"62","0.19271207270281634","0.19271207270281634","0.19271207270281634"
"65","0.4095174207616802","0.4095174207616802","0.4095174207616802"
"68","0.34395123734399535","0.34395123734399535","0.34395123734399535"
"71","0.4539934768887905","0.4539934768887905","0.4539934768887905"
"74","0.3596906973126227","0.3596906973126227","0.3596906973126227"
"77","0.4139396083628619","0.4139396083628619","0.4139396083628619"
"80","0.22431294614161704","0.22431294614161704","0.22431294614161704"
"83","0.3899507496927135","0.3899507496927135","0.3899507496927135"
"86","0.18857920163039435","0.18857920163039435","0.18857920163039435"
"89","0.13681017669794918","0.13681017669794918","0.13681017669794918"
"92","0.2630692974641125","0.2630692974641125","0.2630692974641125"
"95","0.12486891086369477","0.12486891086369477","0.12486891086369477"
"98","0.0002846799897761465","0.0002846799897761465","0.0002846799897761465"
"101","0.24808255005013574","0.24808255005013574","0.24808255005013574"
"104","0.5371859537306836","0.5371859537306836","0.5371859537306836"
"107","0.2748370942866773","0.2748370942866773","0.2748370942866773"
"110","0.37043463599555954","0.37043463599555954","0.37043463599555954"
"113","0.31723814258472577","0.31723814258472577","0.31723814258472577"
"116","0.12258038567669481","0.12258038567669481","0.12258038567669481"
"119","0.3733889231375849","0.3733889231375849","0.3733889231375849"
"122","0.1038048335631682","0.1038048335631682","0.1038048335631682"
"125","0.1853876692500391","0.1853876692500391","0.1853876692500391"
"128","0.3956625926376139","0.3956625926376139","0.3956625926376139"
"131","0.1562678822757122","0.1562678822757122","0.1562678822757122"
"134","0.6162086675816011","0.6162086675816011","0.6162086675816011"
"137","0.2698660729285373","0.2698660729285373","0.2698660729285373"
"140","0.20932992537130138","0.20932992537130138","0.20932992537130138"
"143","0.062100364484905544","0.062100364484905544","0.062100364484905544"
"146","0.461114448409579","0.461114448409579","0.461114448409579"
"149","0.24988311288894613","0.24988311288894613","0.24988311288894613"
"152","0.029385685305273197","0.029385685305273197","0.029385685305273197"
"155","0.37849109091892114","0.37849109091892114","0.37849109091892114"
"158","0.3690333607462705","0.3690333607462705","0.3690333607462705"
"161","0.31586360104978356","0.31586360104978356","0.31586360104978356"
"164","0.46840702435431286","0.46840702435431286","0.46840702435431286"
"167","0.2290774766784451","0.2290774766784451","0.2290774766784451"
"170","0.6162212932845414","0.6162212932845414","0.6162212932845414"
"173","0.3418511288906875","0.3418511288906875","0.3418511288906875"
"176","0","0","0"
"179","0.3164493336603691","0.3164493336603691","0.3164493336603691"
"182","0.29672343457524275","0.29672343457524275","0.29672343457524275"
"185","0.33710800689801357","0.33710800689801357","0.33710800689801357"
"188","0.3295086406629084","0.3295086406629084","0.3295086406629084"
"191","0.00012121539957111155","0.00012121539957111155","0.00012121539957111155"
"194","0.3299091276489029","0.3299091276489029","0.3299091276489029"
"197","0.22452595874946005","0.22452595874946005","0.22452595874946005"
"200","0.30076260046754144","0.30076260046754144","0.30076260046754144"
"203","0.25433017127632906","0.25433017127632906","0.25433017127632906"
"206","0.30107160817879763","0.30107160817879763","0.30107160817879763"
"209","0.2971806284676974","0.2971806284676974","0.2971806284676974"
"212","0.2700735800150175","0.2700735800150175","0.2700735800150175"
"215","0.37493755674600576","0.37493755674600576","0.37493755674600576"
"218","0.12703219660544984","0.12703219660544984","0.12703219660544984"
"221","0.21331641694735992","0.21331641694735992","0.21331641694735992"
"224","0.22730287130411897","0.22730287130411897","0.22730287130411897"
"227","0.366582859359269","0.366582859359269","0.366582859359269"
"230","0.3457261657518278","0.3457261657518278","0.3457261657518278"
"233","0.26640603088882336","0.26640603088882336","0.26640603088882336"
"236","0.3563044490502955","0.3563044490502955","0.3563044490502955"
"239","0.53712001007063","0.53712001007063","0.53712001007063"
"242","0.12420313863833701","0.12420313863833701","0.12420313863833701"
"245","0.2835464301072802","0.2835464301072802","0.2835464301072802"
"248","0.3715402842674657","0.3715402842674657","0.3715402842674657"
"251","0.19555568821066954","0.19555568821066954","0.19555568821066954"
"254","0.26290273493876176","0.26290273493876176","0.26290273493876176"
"257","0.28978376298974384","0.28978376298974384","0.28978376298974384"
"260","0.2452799489033071","0.2452799489033071","0.2452799489033071"
"263","0.33120855958429246","0.33120855958429246","0.33120855958429246"
"266","0.21405526186846335","0.21405526186846335","0.21405526186846335"
"269","0.17960010777822258","0.17960010777822258","0.17960010777822258"
"272","0.3724318032963482","0.3724318032963482","0.3724318032963482"
"275","0.2469629398168579","0.2469629398168579","0.2469629398168579"
"278","0.32868298904270843","0.32868298904270843","0.32868298904270843"
"281","0.18771988816478646","0.18771988816478646","0.18771988816478646"
"284","0.04147774907324009","0.04147774907324009","0.04147774907324009"
"287","0.2162355669967037","0.2162355669967037","0.2162355669967037"
"290","0.47422125022460254","0.47422125022460254","0.47422125022460254"
"293","0.2684843247334738","0.2684843247334738","0.2684843247334738"
"296","0.2218449264133923","0.2218449264133923","0.2218449264133923"
"299","0.12474977465012442","0.12474977465012442","0.12474977465012442"
"302","0.23089837525952017","0.23089837525952017","0.23089837525952017"
"305","0.1253627415759126","0.1253627415759126","0.1253627415759126"
"308","0.5976572729047234","0.5976572729047234","0.5976572729047234"
"311","0.5449690624283983","0.5449690624283983","0.5449690624283983"
"314","0.33453937470711237","0.33453937470711237","0.33453937470711237"
"317","0.3438788210917068","0.3438788210917068","0.3438788210917068"
"320","0.36721102575853204","0.36721102575853204","0.36721102575853204"
"323","0.24923485229210599","0.24923485229210599","0.24923485229210599"
"326","0.4868536304450096","0.4868536304450096","0.4868536304450096"
"329","0.2975003609450986","0.2975003609450986","0.2975003609450986"
"332","0.1417268042917649","0.1417268042917649","0.1417268042917649"
"335","0.3245037865095321","0.3245037865095321","0.3245037865095321"
"338","0.21607066523201834","0.21607066523201834","0.21607066523201834"
"341","0.16847355853323231","0.16847355853323231","0.16847355853323231"
"344","0.4468986530228224","0.4468986530228224","0.4468986530228224"
"347","0.28738528995924295","0.28738528995924295","0.28738528995924295"
"350","0.12507922775122812","0.12507922775122812","0.12507922775122812"
"353","0.4488934030141796","0.4488934030141796","0.4488934030141796"
"356","0.04502543627449651","0.04502543627449651","0.04502543627449651"
"359","0.11291104452772664","0.11291104452772664","0.11291104452772664"
"362","0.4706464279145668","0.4706464279145668","0.4706464279145668"
"365","0.2853946127194672","0.2853946127194672","0.2853946127194672"
